Año,Trimestre,Provincia,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Total,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS
2021,1,Formosa,32.73,50686,0,50686,560,0,22409,7569,7916,1215,9579,1942
2021,1,Jujuy,55.63,110456,0,110456,490,1750,23735,17293,40649,5680,25609,2378
2021,1,La Pampa,81.78,96989,116,97105,2980,5540,68200,7864,7611,2786,7368,2424
2021,1,La Rioja,49.81,52625,3,52628,180,10,36749,5968,4604,2150,5074,-10
2021,1,Mendoza,39.15,218308,615,218923,280,400,134386,11216,52533,4061,16615,440
2021,1,Misiones,43.17,149387,0,149387,510,5240,40949,25503,27101,1405,32953,8256
2021,1,Neuquén,66.84,132862,373,133235,1160,3270,56171,8443,5903,5677,50840,5758
2021,1,Río Negro,60.88,140667,501,141168,1250,4660,70011,4187,13045,3642,29589,20103
2021,1,Salta,53.93,187572,2,187574,1090,200,40785,68149,9164,8139,54889,6319
2021,1,San Juan,39.06,78011,256,78267,250,1940,60439,8580,11494,3400,276,4641
2021,1,San Luis,81.24,119006,148,119154,580,0,11889,2926,4429,62913,22,36917
2021,1,Santa Cruz,41.65,45868,197,46065,500,0,30655,8334,6987,1337,647,-1945
2021,1,Santa Fe,73.92,825990,137,826127,5180,8910,201632,204458,91846,65476,236924,24382
2021,1,Santiago Del Estero,45.67,111640,1,111641,1230,9090,33884,58464,8549,7000,4868,4144
2021,1,Tierra Del Fuego,77.35,40133,289,40422,170,0,21379,1468,4317,4860,919,11836
2021,1,Tucumán,54.82,231890,22,231912,290,970,42810,53416,25255,4188,103437,268
2020,4,Buenos Aires,68.98,4028195,5066,4033261,36939,31197,1109865,242243,214171,213588,2176242,9016
2020,4,Capital Federal,108.31,1378140,1390,1379530,1350,2440,160210,78123,60208,80269,1000073,2680
2020,4,Catamarca,49.41,52395,1,52396,710,0,8843,874,11436,5910,20406,2309
2020,4,Chaco,43.03,139088,3,139091,3010,1120,24782,22479,26802,15701,40949,7965
2020,4,Chubut,68.35,129749,825,130574,1060,1090,88157,21824,12046,2818,1112,4402
2020,4,Córdoba,78.08,902646,55,902701,1190,2386,214963,135262,82221,70013,384169,13568
2020,4,Corrientes,42.43,125656,3,125659,670,5270,31900,26321,25687,9383,26789,4985
2020,4,Entre Ríos,59.47,247368,13,247381,1050,2911,65659,53556,40755,166,53141,14654
2020,4,Formosa,32.49,50206,0,50206,560,0,23540,7606,7181,1197,8946,168
2020,4,Jujuy,53.46,105851,0,105851,490,1820,23772,14379,4493,4460,19282,2811
2020,4,La Pampa,81.77,96779,116,96895,2980,5540,70184,8124,6562,2396,6257,252
2020,4,La Rioja,50.11,52775,3,52778,180,10,36906,606,4633,1810,4979,0
2020,4,Mendoza,38.63,214838,615,215453,280,400,146312,11172,40396,3378,11557,257
2020,4,Misiones,42.64,147161,0,147161,510,5240,39988,26078,26445,1481,32264,7001
2020,4,Neuquén,67.0,132762,373,133135,1160,3270,56434,8478,5791,5493,50776,572
2020,4,Río Negro,61.09,140709,501,141210,1250,4660,70305,4153,13131,3512,29372,20146
2020,4,Salta,54.04,187388,2,187390,1090,5140,41443,68829,15188,8291,46697,6319
2020,4,San Juan,36.32,72340,256,72596,250,1940,61316,7400,5126,3320,275,4588
2020,4,San Luis,81.68,119287,148,119435,580,0,14020,349,2688,62239,22,36918
2020,4,Santa Cruz,37.0,40477,197,40674,470,0,27173,4382,6634,1033,647,7580
2020,4,Santa Fe,73.58,820676,137,820813,5180,8910,206372,203793,94246,65145,226246,23602
2020,4,Santiago Del Estero,43.75,106668,1,106669,1230,9090,34518,5759,4666,4110,4520,3932
2020,4,Tierra Del Fuego,76.27,39325,289,39614,170,0,21881,6119,3497,4880,922,669
